2625	Ethanol, 2-[4-(1,1-dimethylpropyl)phenoxy]-	2
1806	Pentane, 2-methoxy-	0
3146	Phenol, 4,4'-(1-methylethylidene)bis-	2
1977	2(3H)-Benzothiazolone	2
1840	11-Bromoundecanoic acid	0
1036	Cyclopentanone	0
1663	Myristoleic acid	0
3137	2-Aminodiphenylsulfone	2
3677	Benzo[b]naphtho[2,1-d]thiophene	2
522	Oxirane, tetramethyl-	0
1629	1,3-Cyclopentanedione, 4-methyl-5-pentyl-	0
2680	Benzene, 1,3-dimethoxy-5-[(1E)-2-phenylethenyl]-	2
818	Ethanol, 2-phenoxy-	2
3241	Cyclohexanone, 2,4-diacetyl-5-hydroxy-3-(4-methoxyphenyl)-5-methyl-	0
559	Decane, 5-methyl-	0
1224	Benzaldehyde, 4-hydroxy-	2
208	1,5-Diazocine, octahydro-1,5-dinitroso-	0
3787	Cyclopropanecarboxylic acid, 2,2-dimethyl-3-(2-methyl-1-propenyl)-, (3-phenoxyphenyl)methyl ester, (1R-cis)-	2
1791	Benzene, (1-methylundecyl)-	0
126	2(5H)-Furanone, 3-methyl-	2
3182	9-Ethyl-10-methylanthracene	0
1012	3-Cyclobutene-1,2-dione, 3,4-dihydroxy-	2
1306	Vanillin	2
4009	Octocrylene	2
1531	Benzeneacetic acid, 4-hydroxy-, methyl ester	2
380	2,N-Dibenzoyl-6-hexanelactam	0
115	Phenol	2
4498	Miconazole	2
929	3-Oxo-4-phenylbutyronitrile	0
1687	2-Octene, 1-(methoxymethoxy)-, (E)-	0
1132	Methyl-3-(2,2-dichlorovinyl)-2,2-dimethyl-(1-cyclopropane)carboxylate,c&t	2
1559	m-Toluic acid, pentyl ester	0
836	3,4-Anhydro-d-galactosan	0
2482	Acridine, 9,10-dihydro-	2
1292	Ethanone, 1-(3-hydroxyphenyl)-	2
1061	4,5-Bis-dimethoxymethyl-octanedioic acid, dimethyl ester	0
2010	Phenol, 2,6-dimethoxy-4-(2-propenyl)-	2
1483	2(3H)-Furanone, 5-acetyldihydro-	2
2069	Cotinine	2
1964	1(2H)-Acenaphthylenone	2
2083	3-(4-Buthoxybenzylthio)-1,2,4-(4H)-triazole	0
1852	Cedrol	2
883	Benzeneacetamide, à-ethyl-	0
1903	Benzene, (1-ethylnonyl)-	2
822	Butyl aldoxime, 3-methyl-, syn-	0
1551	Tetraethyleneglycol monomethylether	0
1846	Tetrahydrofuran-2-one, 5-[1-hydroxyhexyl]-	0
4223	2,2',4,4',5,-Penabromodiphenyl ether	2
140	1-Hexene, 1-butoxy-2-ethyl-	0
3626	trans-anti-trans-Tricyclo[7.3.0.0(2,6)]-7-dodecene	0
322	2,2-Dimethyl-3-heptanone	0
1436	3-Hydroxybenzhydrazide	2
3841	2-Methylbenzo[b]naphtho[2,1-d]thiophene	2
2720	9H-Pyrido[3,4-b]indole	2
1203	Nonanoic acid, 3,5-difluophenyl ester	0
2692	1,3-Dioxolane, 2-(4-methoxyphenyl)-2-methyl-	0
3145	l-isoleucine, N-dinitrophenyl-	0
181	1H,1H,2H,2H-Perfluorodecan-1-ol	0
892	Hexanoic acid, 4-tetradecyl ester	0
2910	2-(2H-Benzotriazol-2-yl)-5-methylphenol	2
4134	Piperine	2
2018	m-Anisic acid, 4-nitrophenyl ester	0
2616	Pyrrolo[1,2-a]pyrazine-1,4-dione, hexahydro-3-(2-methylpropyl)-	2
3572	2-Propen-1-one, 1-(2,6-dihydroxy-4-methoxyphenyl)-3-phenyl-, (E)-	2
1708	2,4-Imidazolidinedione, 5-(2-methylpropyl)-, (S)-	0
3531	11H-Benzo[a]fluoren-11-one	2
3613	Benzo[ghi]fluoranthene	2
394	1,2-Butanediol	0
1963	Propanoic acid, 2-methyl-3-[4-t-butyl]phenyl-	2
2559	1-Methyldibenzothiophene	0
537	Maltol	2
1310	Niacinamide	2
2495	Pyrene, 1,3-dimethyl-	2
2191	2-Butenoic acid, 3-[[(ethylamino)methoxyphosphinothioyl]oxy]-, 1-methylethyl ester, (E)-	2
3420	Naphtho[2',3':4,5]imidazo[1,2-a]pyridine-6,11-dione	0
3032	Benzenamine, 4,4'-methylenebis[2-methyl-	0
#peak_num	name	confidence
3277	2,6-Diphenylpyridine	2
3171	Methyl dehydroabietate	0
2044	1,2-Benzenediol, o-(1-adamantancarbonyl)-o'-(cyclobutanecarbonyl)-	0
1113	Bicyclo[4.4.1]undeca-1,3,5,7,9-pentaene	0
1966	Benzenesulfonamide, 4-methyl-	2
1561	Apocynin	2
1642	3-Hexanol, 2,5-dimethyl-	0
1364	1,4,7,10-Tetraoxacyclododecan-2-one	0
2090	Benzoic acid, 1-methylethyl ester	0
1349	Acetonitrile, 2-chloro-2-[dimethylamine(N-B)bis(trifluoromethyl)boryl]-	0
2058	1,3-Cyclohexadiene-1-carboxylic acid, 2,6,6-trimethyl-, ethyl ester	0
4378	5-Chlorovaleric acid, 3-pentadecyl ester	0
2072	1,4-Benzenediol, 2,6-bis(1,1-dimethylethyl)-	2
2615	Anthracene, 1-methyl-	2
3761	Cyclopropanecarboxylic acid, 2,2-dimethyl-3-(2-methyl-1-propenyl)-, (3-phenoxyphenyl)methyl ester, (1R-cis)-	0
